[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":1,"method":"POST","endpoint":"/api/v1/projects","ip":"127.0.0.1","status":422,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":1,"method":"PUT","endpoint":"/api/v1/projects/1","ip":"127.0.0.1","status":200,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":1,"method":"PUT","endpoint":"/api/v1/projects/1","ip":"127.0.0.1","status":403,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":1,"method":"DELETE","endpoint":"/api/v1/projects/1","ip":"127.0.0.1","status":200,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":1,"method":"DELETE","endpoint":"/api/v1/projects/1","ip":"127.0.0.1","status":403,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":3,"method":"GET","endpoint":"/api/v1/projects/1/tasks","ip":"127.0.0.1","status":200,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":3,"method":"GET","endpoint":"/api/v1/projects/1/tasks","ip":"127.0.0.1","status":200,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":3,"method":"GET","endpoint":"/api/v1/projects/999/tasks","ip":"127.0.0.1","status":404,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":3,"method":"GET","endpoint":"/api/v1/tasks/1","ip":"127.0.0.1","status":200,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":2,"method":"POST","endpoint":"/api/v1/projects/1/tasks","ip":"127.0.0.1","status":201,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":1,"method":"POST","endpoint":"/api/v1/projects/1/tasks","ip":"127.0.0.1","status":201,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":3,"method":"POST","endpoint":"/api/v1/projects/1/tasks","ip":"127.0.0.1","status":403,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":2,"method":"POST","endpoint":"/api/v1/projects/1/tasks","ip":"127.0.0.1","status":422,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":2,"method":"PUT","endpoint":"/api/v1/tasks/1","ip":"127.0.0.1","status":200,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":3,"method":"PUT","endpoint":"/api/v1/tasks/1","ip":"127.0.0.1","status":200,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":4,"method":"PUT","endpoint":"/api/v1/tasks/1","ip":"127.0.0.1","status":403,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":2,"method":"DELETE","endpoint":"/api/v1/tasks/1","ip":"127.0.0.1","status":200,"timestamp":"2026-03-10T15:56:23+00:00"} 
[2026-03-10 15:56:23] testing.INFO: API Activity {"user_id":3,"method":"DELETE","endpoint":"/api/v1/tasks/1","ip":"127.0.0.1","status":403,"timestamp":"2026-03-10T15:56:23+00:00"} 
